Run,Day,PTEV,PTES,StartingGamma,NumAttributes,RuminationFrequency,W,SSRI,MemoryEntropy,ChunkSimilarity,PTraumatic,CTraumatic,ChunkV
0,-1,20,0.25,0.9,6,0,4,TRUE,7.143325,0,0,0,0
0,-1,20,0.25,0.95,6,0,4,FALSE,7.15477,0.05,0,0,0.06408
0,-1,20,0.25,0.95,6,0,4,TRUE,7.114486666666666,0,0,0,0
0,0,20,0.25,0.9,6,0,4,TRUE,7.21115,0,0,0,0
0,0,20,0.25,0.95,6,0,4,FALSE,7.142,0,0,0,0
0,0,20,0.25,0.95,6,0,4,TRUE,7.0782,0,0,0,0
0,1,20,0.25,0.9,6,0,4,FALSE,7.0224,0,0,0,0
0,1,20,0.25,0.9,6,0,4,TRUE,6.924218181818182,0.07954545454545454,0,0,0.09875454545454546
0,1,20,0.25,0.95,6,0,4,FALSE,6.963409090909091,0.07954545454545454,0,0,0.12533636363636363
0,1,20,0.25,0.95,6,0,4,TRUE,6.99962,0.0375,0,0,0.02697
0,2,20,0.25,0.9,6,0,4,FALSE,7.123557142857143,0,0,0,0
0,2,20,0.25,0.9,6,0,4,TRUE,7.111366666666667,0,0,0,0
0,2,20,0.25,0.95,6,0,4,FALSE,7.1019,0.10714285714285714,0,0,0.12024285714285714
0,2,20,0.25,0.95,6,0,4,TRUE,7.0566125,0.03125,0,0,0.0610625
0,3,20,0.25,0.9,6,0,4,FALSE,7.166625,0,0,0,0
0,3,20,0.25,0.9,6,0,4,TRUE,7.186825,0,0,0,0
0,3,20,0.25,0.95,6,0,4,FALSE,7.147372727272727,0.011363636363636364,0,0,0.022918181818181817
0,3,20,0.25,0.95,6,0,4,TRUE,7.112966666666667,0.03125,0,0,0.021008333333333334
0,4,20,0.25,0.9,6,0,4,FALSE,7.142291666666667,0.052083333333333336,0,0,0.08586666666666666
0,4,20,0.25,0.9,6,0,4,TRUE,7.200991666666667,0.03125,0,0,0.004816666666666666
0,4,20,0.25,0.95,6,0,4,FALSE,7.146409090909091,0.056818181818181816,0,0,0.028281818181818182
0,4,20,0.25,0.95,6,0,4,TRUE,7.1366933333333336,0.09166666666666666,0,0,0.07213333333333333
