Run,PTEV,PTES,NumSlots,NumAttributes,Time,ChunkV,Traumatic,ChunkSimilarity,BLL,IMAGINAL-ACTIVATION
30.0,1.0,0.0,6.0,6.0,140400.,.4616,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,139200.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,138000.,0.273,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,136800.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,135600.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,134400.,0.398,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,133200.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,132000.,0.385,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,130800.,.6824,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,129600.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,128400.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,127200.,.4616,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,126000.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,124800.,.6824,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,123600.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,122400.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,121200.,0.385,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,120000.,.5816,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,118800.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,117600.,.6272,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,116400.,.5535,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,115200.,.6675,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,114000.,.6824,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,112800.,.4035,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,111600.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,110400.,.6857,0.0,.6667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,109200.,.4622,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,108000.,.6824,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,106800.,0.273,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,105600.,.5927,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,104400.,.5816,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,103200.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,102000.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,100800.,.5131,0.0,.6667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,99600.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,98400.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,97200.,.4259,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,96000.,.6857,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,94800.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,93600.,.4622,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,92400.,.3612,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,91200.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,90000.,.6857,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,88800.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,87600.,.6824,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,86400.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,85200.,.6824,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,84000.,0.273,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,82800.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,81600.,.6824,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,80400.,.6635,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,79200.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,78000.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,76800.,.6824,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,75600.,.6824,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,74400.,.6857,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,73200.,0.273,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,72000.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,70800.,.4259,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,69600.,.1006,0.0,.8333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,68400.,.6824,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,67200.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,66000.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,64800.,0.385,0.0,.6667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,63600.,.6824,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,62400.,.6857,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,61200.,.6857,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,60000.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,58800.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,57600.,.6857,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,56400.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,55200.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,54000.,.3612,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,52800.,.6272,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,51600.,0.385,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,50400.,0.273,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,49200.,.6857,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,48000.,.6857,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,46800.,.4259,0.0,.6667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,45600.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,44400.,.6857,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,43200.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,42000.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,40800.,.5927,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,39600.,.6857,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,38400.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,37200.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,36000.,.6824,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,34800.,.3612,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,33600.,.3612,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,32400.,0.273,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,31200.,.6857,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,30000.,.6824,0.0,0.0,0.3,5.0
30.0,1.0,0.0,6.0,6.0,28800.,.6824,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,27600.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,26400.,.4616,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,25200.,0.273,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,24000.,0.273,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,22800.,.1006,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,21600.,.6857,0.0,.6667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,20400.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,19200.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,18000.,0.385,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,16800.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,15600.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,14400.,.4616,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,13200.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,12000.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,10800.,.6857,0.0,0.5,0.3,5.0
30.0,1.0,0.0,6.0,6.0,9600.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,8400.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,7200.,0.273,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,6000.,.6857,0.0,.1667,0.3,5.0
30.0,1.0,0.0,6.0,6.0,4800.,.6857,0.0,.3333,0.3,5.0
30.0,1.0,0.0,6.0,6.0,3600.,0.273,0.0,0.0,0.3,5.0
