Run, PTEV, PTES, NumSlots, NumAttributes, Time, ChunkV, ChunkSimilarity, BLC, LE
  0.0,  20.0,   0.0,   6.0,   6.0, 34800., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 34200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 33600., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 33000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 32400., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 31800., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 31200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 30600., .5961,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 30000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 29400., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 28800., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 28200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 27600., .4623,   0.0, .8333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 27000., .5961,   0.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 26400., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 25800., .5961,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 25200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 24600., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 24000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 23400., .5961,   0.0, .1667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 22800., .2239,   0.0, .1667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 22200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 21600., 0.164,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 21000., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 20400., .5961,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 19800., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 19200., 2.996,   1.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 18600., .3921,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 18000., .5961,   0.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 17400., .2239,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 16800., .4861,   0.0, .1667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 16200., .2239,   0.0, .6667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 15600., .3921,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 15000., -.466,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 14400., .3921,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 13800., .5961,   0.0, .1667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 13200., .5961,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 12600., .6245,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 12000., .5285,   0.0, .6667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 11400., .5961,   0.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 10800., .5961,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 10200., .3921,   0.0, .1667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 9600., .0186,   0.0, .6667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 9000., .5285,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 8400., .6245,   0.0, .6667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 7800., .6245,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 7200., .3921,   0.0, .1667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 6600., .5285,   0.0, .1667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 6000., .3921,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 5400., .3921,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 4800., .3921,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 4200., .0186,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 3600., -.466,   0.0, .3333,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 3000., .5285,   0.0,   0.0,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 2400., .5285,   0.0, .1667,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0, 1800., .3921,   0.0,   0.5,   9.0,   0.7
  0.0,  20.0,   0.0,   6.0,   6.0,   1.1,   0.0,   0.0,   0.0,   9.0,   0.7
