Run, PTEV, PTES, NumSlots, NumAttributes, Time, ChunkV, ChunkSimilarity
  0.0,   1.0,   0.0,   6.0,   6.0, 12030180., -.143,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 12025440., .0594,   0.0, .6667
  0.0,   1.0,   0.0,   6.0,   6.0, 11967901., .5981,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11963400., .5981,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11951400., .4775,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11946900., .6678,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11944740., -.143,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11943180., .4954,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11942641., .6662,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11942341., .4775,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11939460., .0852,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11938440., .6112,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11937240., .3122,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11929501., .5718,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11929320., .3551,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11929081., .4775,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11926440., .6857,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11875741., .5334,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11875080., 0.558,   0.0,   0.5
  0.0,   1.0,   0.0,   6.0,   6.0, 11860440., .6562,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11857921., .6515,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11856600., .3952,   0.0, .6667
  0.0,   1.0,   0.0,   6.0,   6.0, 11856120., .5718,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11855760., .2379,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11848561., .5765,   0.0, .6667
  0.0,   1.0,   0.0,   6.0,   6.0, 11843640., .6562,   0.0, .1667
  0.0,   1.0,   0.0,   6.0,   6.0, 11839740., .6515,   0.0, .3333
  0.0,   1.0,   0.0,   6.0,   6.0, 11786581., .4775,   0.0,   0.0
